Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Iris,6/30/1988,N/A,Tabular,Biology,Classification,Real,150,4
Heart Disease,6/30/1988,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",303,13
Wine Quality,10/6/2009,N/A,Multivariate,Business,"Classification, Regression",Real,4898,11
Adult,4/30/1996,N/A,Multivariate,Social Science,Classification,"Categorical, Integer",48842,14
Breast Cancer Wisconsin (Diagnostic),10/31/1995,N/A,Multivariate,Health and Medicine,Classification,Real,569,30
Bank Marketing,2/13/2012,N/A,Multivariate,Business,Classification,"Categorical, Integer",45211,16
Wine,6/30/1991,N/A,Tabular,Physics and Chemistry,Classification,"Integer, Real",178,13
Student Performance,11/26/2014,N/A,Multivariate,Social Science,"Classification, Regression",Integer,649,30
Online Retail,11/5/2015,N/A,"Multivariate, Sequential, Time-Series",Business,"Classification, Clustering","Integer, Real",541909,6
Car Evaluation,5/31/1997,N/A,Multivariate,Other,Classification,Categorical,1728,6
Diabetes,N/A,N/A,"Multivariate, Time-Series",Health and Medicine,Classification,"Categorical, Integer",1,20
Predict Students' Dropout and Academic Success,12/12/2021,N/A,Tabular,Social Science,Classification,"Real, Categorical, Integer",4424,36
Automobile,5/18/1987,N/A,Multivariate,Other,Regression,"Categorical, Integer, Real",205,25
Abalone,11/30/1995,N/A,Tabular,Biology,"Classification, Regression","Categorical, Integer, Real",4177,8
Mushroom,4/26/1987,N/A,Multivariate,Biology,Classification,Categorical,8124,22
Air Quality,3/22/2016,N/A,"Multivariate, Time-Series",Computer Science,Regression,Real,9358,15
Statlog (German Credit Data),11/16/1994,N/A,Multivariate,Social Science,Classification,"Categorical, Integer",1000,20
Human Activity Recognition Using Smartphones,12/9/2012,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Clustering",-,10299,-
Default of Credit Card Clients,1/25/2016,N/A,Multivariate,Business,Classification,"Integer, Real",30000,23
Estimation of Obesity Levels Based On Eating Habits and Physical Condition,8/26/2019,N/A,Multivariate,Health and Medicine,"Classification, Regression, Clustering",Integer,2111,16
Dry Bean,9/13/2020,N/A,Multivariate,Biology,Classification,"Integer, Real",13611,16
Bike Sharing,12/19/2013,N/A,Multivariate,Social Science,Regression,"Integer, Real",17389,13
Auto MPG,7/6/1993,N/A,Multivariate,Other,Regression,"Real, Categorical, Integer",398,7
Spambase,6/30/1999,N/A,Multivariate,Computer Science,Classification,"Integer, Real",4601,57
Online Retail II,9/20/2019,N/A,"Multivariate, Sequential, Time-Series, Text",Business,"Classification, Regression, Clustering","Integer, Real",1067371,-
Breast Cancer Wisconsin (Original),7/14/1992,N/A,Multivariate,Health and Medicine,Classification,Integer,699,9
SMS Spam Collection,6/21/2012,N/A,"Multivariate, Text, Domain-Theory",Computer Science,"Classification, Clustering",Real,5574,-
